"Severity","Appender","Date","Time","Category","Message"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (jsonprettyprint) Registered (6ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/jsonprettyprint }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-deps) Registered (550ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-ckeditor) Registered (7ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-admin/modules/contentbox-ckeditor }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-email-twofactor) Registered (13ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-admin/modules/contentbox-security/modules/contentbox-email-twofactor }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-security) Registered (23ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-admin/modules/contentbox-security }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-markdowneditor) Registered (18ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-admin/modules/contentbox-markdowneditor }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-filebrowser) Registered (10ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-admin/modules/contentbox-filebrowser }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (contentbox-admin) Registered (73ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-admin }"
"INFO","FILES","02/20/2024","23:28:05","coldbox.system.web.services.ModuleService","+ Module (contentbox-api-v1) Registered (169ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-api/modules/contentbox-api-v1 }"
"INFO","FILES","02/20/2024","23:28:05","coldbox.system.web.services.ModuleService","+ Module (contentbox-api) Registered (436ms) => { version: 6.1.0-snapshot, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-api }"
